Tested on Dual-Core machine

Method,  # of Elements,  # of Classes,  Time Used(sec),               gadf

Original      1000              5           2.512                     0.8020
Own           1000              5           2.075                     0.8020
Own+Par       1000              5           2.886(include import)     0.8020
                                            1.295(w/o import)
Original      3000              5           22.386                    0.7975
Own           3000              5           18.346                    0.7975
Own+Par       3000              5           11.685                    0.7975
Original      5000              5           62.590                    0.8036
Own           5000              5           50.856                    0.8036
Own+Par       5000              5           32.011                    0.8036

Original      3000              6           24.398                    0.8311
Own           3000              6           21.512                    0.8311
Own+Par       3000              6           14.415                    0.8311
Original      3000              8           28.283                    0.8754
Own           3000              8           27.549                    0.8754
Own+Par       3000              8           20.857                    0.8754
Original      3000              10          31.871                    0.9007
Own           3000              10          33.649                    0.9007
Own+Par       3000              10          27.051                    0.9007
